"image","xmin","ymin","xmax","ymax","label"
"100.jpg",2.8214702450408398,12.725490196078432,240.98249708284712,48.58823529411765,"plate"
"100.jpg",32.049008168028,66.51960784313727,225.06651108518085,157.91176470588238,"plate"
"1.jpg",83.43819650817235,389.5735294117647,258.870588781575,449,"plate"
"101.jpg",3.4002333722287044,14.171568627450982,242.71878646441073,48.58823529411765,"plate"
"101.jpg",22.210035005834303,54.083333333333336,214.35939323220535,147.2107843137255,"plate"
"10.jpg",207.8787185354691,159.4724770642202,408.4118993135011,207.17889908256882,"plate"
"0.jpg",582.8283752860413,277.4516707920792,702.7139588100687,317.13087871287127,"plate"
"102.jpg",122.42562929061786,82.6372971602434,360.4118993135012,203.33100912778906,"plate"
"104.jpg",313.3867276887872,182.31785504694835,457.62013729977116,217.08780809859155,"plate"
"105.jpg",18.704100367197064,45.91503267973856,717.296511627907,408.64379084967317,"plate"
"106.jpg",231.07551487414187,192.7122641509434,316.40732265446223,236.4858490566038,"plate"
"103.jpg",258.5274725274725,170.8235294117647,2315.6703296703295,686.4575163398692,"plate"
"103.jpg",36.989010989010985,806.6666666666666,2435.934065934066,1395.0588235294117,"plate"
"108.jpg",29.178489702517165,37.17559803001876,597.091533180778,320.18122654784236,"plate"
"107.jpg",31.23569794050343,28.807800968634687,322.36842105263156,187.35392642988933,"plate"
"110.jpg",19.11764705882353,159.80392156862743,412.2549019607843,399.01960784313724,"plate"
"11.jpg",357.43803680981597,373.19117647058823,496.90306748466264,436.01797385620915,"plate"
"109.jpg",42.16475972540046,89.32294512750455,413.1006864988559,185.10436589253186,"plate"
"112.jpg",4.901960784313726,45.95588235294118,500,344.97549019607845,"plate"
"111.jpg",65.68627450980392,183.33333333333331,723.5294117647059,311.7647058823529,"plate"
"113.jpg",17.689936926605505,126.79738562091504,433.423881880734,298.6928104575163,"plate"
"114.jpg",189.16029916158539,356.8627450980392,378.5063357469512,416.33986928104576,"plate"
"115.jpg",57.352941176470594,81.61764705882354,600.0000000000001,192.64705882352942,"plate"
"116.jpg",16.176470588235297,124.26470588235296,578.6764705882352,300,"plate"
"117.jpg",179.41176470588238,120.58823529411765,408.82352941176475,254.41176470588238,"plate"
"118.jpg",131.1764705882353,140.58823529411765,317.05882352941177,222.94117647058823,"plate"
"118.jpg",379.4117647058824,76.47058823529412,419.4117647058824,116.47058823529412,"plate"
"119.jpg",0,59.411764705882355,464.7058823529412,182.94117647058823,"plate"
"12.jpg",218.94736842105263,185.3006628787879,437.16247139588097,236.56328914141417,"plate"
"120.jpg",143.57894736842104,163.84807312252963,339.36842105263156,215.46269762845847,"plate"
"121.jpg",21.858552631578945,35.80392156862745,420.938111995104,136.70588235294116,"plate"
"121.jpg",15.894048347613218,151.8954248366013,429.61375458996326,261.47712418300654,"plate"
"122.jpg",14.016018306636157,25.8078125,203.0892448512586,138.85953663793106,"plate"
"123.jpg",271.078431372549,329.4117647058823,487.2549019607843,381.7401960784313,"plate"
"124.jpg",137.7450980392157,131.8627450980392,306.8627450980392,180.88235294117646,"plate"
"125.jpg",184.7826086956522,112.74331507731958,324.37070938215106,147.64537693298968,"plate"
"127.jpg",196.8192219679634,76.22895144628099,610,192.15457128099172,"plate"
"126.jpg",444.985835694051,272.05882352941177,640,337.3529411764706,"plate"
"126.jpg",27.08215297450425,295.6372549019608,127.70538243626063,331.9117647058823,"plate"
"128.jpg",161.89931350114418,94.06103971962617,284.32494279176206,142.10589953271028,"plate"
"129.jpg",157.8947368421053,144.06403186274508,342.67734553775745,197.82220179738562,"plate"
"130.jpg",0.5720823798627003,5.4341563786008225,500.00000000000006,132.99382716049382,"plate"
"13.jpg",91.81671626984127,236.4607843137255,240.22941468253967,323.71568627450984,"plate"
"131.jpg",229.56521739130434,186.58085664335664,363.22654462242565,221.3221153846154,"plate"
"132.jpg",202.0949656750572,213.00641025641028,299.07093821510296,244.8232600732601,"plate"
"133.jpg",206.0295115332429,283.4477124183007,344.4284260515604,353.97058823529414,"plate"
"134.jpg",119.84897025171625,159.2292301829268,243.83066361556064,203.32679115853657,"plate"
"136.jpg",161.89931350114418,215.32596982758622,312.92906178489704,258.8294181034483,"plate"
"135.jpg",139.82379862700228,281.80633147113593,300.3112128146453,322.1781890130354,"plate"
"137.jpg",189.2751221626734,277.94117647058823,366.4541889974779,325.7352941176471,"plate"
"138.jpg",130.37642045454544,303.2107843137255,304.24005681818176,352.9509803921569,"plate"
"139.jpg",22.534324942791763,204.31489372895624,145.02860411899312,248.20041561447812,"plate"
"14.jpg",158.46681922196797,107.38795896328294,355.8352402745995,180.07694384449246,"plate"
"141.jpg",151.60183066361557,129.55473643006263,370.7093821510298,191.9054671189979,"plate"
"140.jpg",223.87528604118992,158.399140625,308.44050343249427,186.879140625,"plate"
"142.jpg",648.0549199084669,327.54658018867923,735.9267734553777,386.1126179245283,"plate"
"144.jpg",101.91761363636363,183.08496732026146,429.313191031941,269.0980392156863,"plate"
"143.jpg",183.76874999999998,213.09803921568627,343.86105769230767,260.03921568627453,"plate"
"146.jpg",197.02517162471395,134.83646257637474,353.5469107551487,177.39043406313647,"plate"
"147.jpg",153.77574370709382,230.23972123217922,315.1029748283753,276.2254646130346,"plate"
"145.jpg",321.1764705882353,284.70588235294116,695.2941176470588,372.94117647058823,"plate"
"148.jpg",121.51029748283753,259.0666051425662,405.0343249427918,337,"plate"
"149.jpg",188.4617279894875,268.00816993464053,338.7324244415243,301.2598039215686,"plate"
"150.jpg",141.03098665730337,248.72549019607843,336.9579529494382,302.8267973856209,"plate"
"151.jpg",118.53546910755148,104.89399136178861,187.81464530892447,131.72122713414632,"plate"
"15.jpg",277.8448932926829,350.37254901960785,509.625381097561,407.01960784313724,"plate"
"152.jpg",121.50394880174292,258.6813725490196,227.49523420479304,292.25653594771245,"plate"
"153.jpg",100.28505067567568,140.95424836601308,168.65114404176904,157.2843137254902,"plate"
"154.jpg",188.30786423841062,226.19444444444446,390.26548013245036,277.85130718954247,"plate"
"156.jpg",345.1945080091533,181.5224366634799,567.0480549199085,312.91058197896746,"plate"
"155.jpg",323.5294117647059,201.1764705882353,868.2352941176471,425.88235294117646,"plate"
"157.jpg",64.54047439759036,125.3496732026144,299.7452936746988,222.21078431372553,"plate"
"158.jpg",7.826206140350877,0,462.21217105263156,537,"plate"
"16.jpg",297.3935926773455,255.99258306962025,493.6029748283753,303.4989121835443,"plate"
"159.jpg",348.558352402746,244.1158536585366,783.5240274599541,470.9451219512195,"plate"
"160.jpg",1019.3135011441648,598.8567073170732,1260.9610983981693,673.4908536585366,"plate"
"161.jpg",258.0546278625954,208.94117647058823,329.8485209923664,269.156862745098,"plate"
"162.jpg",94.46224256292906,17.858231707317074,224.0732265446224,55.17530487804878,"plate"
"163.jpg",342.5629290617849,238.03873922413794,492.90617848970254,291.56287715517243,"plate"
"164.jpg",247.6388243494424,376.19444444444446,421.61651951672866,419.69444444444446,"plate"
"165.jpg",103.37528604118994,160.54832713754647,313.10068649885585,230.4368029739777,"plate"
"166.jpg",1.0983981693363845,16.39481707317073,303.89016018306637,179.5655487804878,"plate"
"167.jpg",298.09689748201436,306.562091503268,599.247976618705,406.56862745098044,"plate"
"168.jpg",213.02059496567506,141.6925601750547,431.91762013729976,197.57002188183807,"plate"
"169.jpg",4.493464052287582,80.88235294117646,250,192.81045751633985,"plate"
"17.jpg",62.92672413793104,224.8627450980392,178.8807471264368,264.9313725490196,"plate"
"172.jpg",14.874141876430206,5.424642527675277,492.5629290617849,146.6977052583026,"plate"
"174.jpg",220.2517162471396,75.8247249388753,441.6475972540046,172.51421149144255,"plate"
"173.jpg",220.8237986270023,123.82652243589743,425.629290617849,184.52737713675214,"plate"
"171.jpg",390.3491579558653,668.843137254902,802.5442799070847,770,"plate"
"170.jpg",549.0196078431372,448.5294117647059,1799.0196078431372,1100.4901960784314,"plate"
"175.jpg",183.53283259646304,150.44117647058823,503,491.7647058823529,"plate"
"176.jpg",150.98039215686273,193.62745098039215,253.4313725490196,215.68627450980392,"plate"
"178.jpg",57.236842105263165,204.77743902439025,94.56521739130436,227.9969512195122,"plate"
"178.jpg",246.36727688787187,270.2896341463414,314.3878718535469,314.24085365853654,"plate"
"177.jpg",41.17647058823529,130.39215686274508,105.88235294117646,156.8627450980392,"plate"
"179.jpg",392.49427917620136,453.55635683760687,596.3569794050343,502.73584401709405,"plate"
"18.jpg",342.404862924282,199.06862745098042,424.61896214099215,227.32352941176472,"plate"
"181.jpg",313.9588100686499,257.4850193298969,480.5491990846682,298.69635953608247,"plate"
"182.jpg",183.0411899313501,206.26777580971662,248.0778032036613,231.05927378542512,"plate"
"183.jpg",173.91304347826087,260.80823627287856,346.68192219679634,289.42720465890187,"plate"
"180.jpg",227.75286041189932,143.1098562628337,470.6361556064073,190.9127310061602,"plate"
"184.jpg",104.69107551487416,155.43014899789029,249.42791762013735,199.45335574894514,"plate"
"185.jpg",208.22972541507025,277.8529411764706,339.5068646232439,313.1029411764706,"plate"
"186.jpg",201.83066361556064,191.1175216395112,388.558352402746,226.80794933808556,"plate"
"187.jpg",237.52860411899314,185.4845626072041,348.74141876430207,212.92881646655232,"plate"
"188.jpg",808.2700228832953,237.8973642172524,1031.3409610983983,303.02515974440894,"plate"
"19.jpg",257.6144164759725,196.59226778656125,729.7322654462241,370.0705286561265,"plate"
"190.jpg",118.34401873464374,83.36928104575163,220.24819563882065,113.45098039215686,"plate"
"189.jpg",170.49392162471395,210.33496732026146,558.3657751716246,331.41339869281046,"plate"
"192.jpg",544.908466819222,389.7667047764228,770.8810068649885,462.638655995935,"plate"
"191.jpg",339.8692810457517,947.4509803921569,607.5816993464052,1029.0196078431372,"plate"
"193.jpg",25.326797385620914,0,250,222.63071895424835,"plate"
"194.jpg",90.80882352941177,99.63235294117648,124.63235294117648,122.4264705882353,"plate"
"194.jpg",39.70588235294118,62.50000000000001,57.352941176470594,76.47058823529413,"plate"
"194.jpg",222.79411764705884,181.98529411764707,286.764705882353,223.16176470588238,"plate"
"195.jpg",83.40572698744771,138.90196078431373,185.11005055788007,168.09150326797385,"plate"
"197.jpg",111.16808920704847,132.68627450980392,224.16368392070484,186.8169934640523,"plate"
"196.jpg",165.87217027559055,275.24183006535947,325.590280511811,329.6209150326797,"plate"
"198.jpg",201.1441647597254,202.78554607942974,272.5400457665904,226.12159495926682,"plate"
"199.jpg",564.649885583524,205.11814024390245,672.5858123569794,236.50838414634148,"plate"
"2.jpg",47.48283752860412,228.45787795992715,108.12356979405035,253.62363387978144,"plate"
"20.jpg",157.19646349413298,191.1764705882353,340.41680247718386,251.22549019607845,"plate"
"200.jpg",17.958810068649885,246.79195374015748,89.04576659038902,311.1226624015748,"plate"
"201.jpg",250.8466819221968,193.68848852040816,369.7826086956522,228.26808035714285,"plate"
"202.jpg",104.69107551487416,222.59898518041237,394.16475972540053,292.4031088917526,"plate"
